Cidade abrangida,Código do IBGE - cidade abrangida,Cidade abrangida UF,Tribunal UF,Tribunal município,Indicador Valor
ABADIA DE GOIÁS,5200050,GO,GO,GUAPO,0
ABADIA DOS DOURADOS,3100104,MG,MG,COROMANDEL,0
ABADIÂNIA,5200100,GO,GO,ABADIÂNIA,0
ABAETÉ,3100203,MG,MG,ABAETÉ,0
ABAETETUBA,1500107,PA,PA,ABAETETUBA,0
ABAIARA,2300101,CE,CE,ABAIARA,0
ABATIÁ,4100103,PR,PR,RIBEIRAO DO PINHAL,0
ABDON BATISTA,4200051,SC,SC,ANITA GARIBALDI,0
ABEL FIGUEIREDO,1500131,PA,PA,RONDON DO PARA,0
ABELARDO LUZ,4200101,SC,SC,ABELARDO LUZ,0
ABRE CAMPO,3100302,MG,MG,ABRE CAMPO,0
ABREU E LIMA,2600054,PE,PE,ABREU E LIMA,0
ABREU E LIMA,2600054,PE,PE,OLINDA,0
ABREU E LIMA,2600054,PE,PE,PAULISTA,0
ABREU E LIMA,2600054,PE,PE,RECIFE,0
ABREULÂNDIA,1700251,TO,TO,PARAISO DO TOCANTINS,0
ACAIACA,3100401,MG,MG,PONTE NOVA,0
AÇAILÂNDIA,2100055,MA,MA,AÇAILÂNDIA,0
ACARÁ,1500206,PA,PA,ACARÁ,0
ACARAPÉ,2300150,CE,CE,ACARAPÉ,0
ACARAÚ,2300200,CE,CE,ACARAÚ,0
ACARAÚ,2300200,CE,CE,TEJUCUOCA,0
ACAUA,2200053,PI,PI,PAULISTANA,0
ACEGUA,4300034,RS,RS,BAGÉ,0
ACOPIARA,2300309,CE,CE,ACOPIARA,0
ACORIZAL,5100102,MT,MT,CUIABA,0
ACRELÂNDIA,1200013,AC,AC,ACRELÂNDIA,0
ACREÚNA,5200134,GO,GO,ACREÚNA,0
AÇUCENA,3100500,MG,MG,AÇUCENA,0
ADAMANTINA,3500105,SP,SP,ADAMANTINA,0
ADELÂNDIA,5200159,GO,GO,ANICUNS,0
ADOLFO,3500204,SP,SP,JOSE BONIFACIO,0
ADRIANÓPOLIS,4100202,PR,PR,BOCAIUVA DO SUL,0
AFOGADOS DA INGAZEIRA,2600104,PE,PE,AFOGADOS DA INGAZEIRA,0
